lat,lon,pickup_cluster
29.8,-121.65,3
29.67,-121.5,3
29.1,-120.62,3
28.42,-119.59,3
27.73,-118.56,3
27.03,-117.55,3
26.92,-117.38,3
26.34,-116.54,3
25.66,-115.53,3
24.97,-114.53,3
24.28,-113.53,3
24.17,-113.37,3
23.63,-112.51,7
22.97,-111.49,7
22.31,-110.48,7
21.64,-109.48,7
21.53,-109.32,7
21.53,-109.32,7
21,-108.46,7
20.36,-107.44,7
19.71,-106.42,7
19.05,-105.42,7
18.35,-104.47,7
17.7,-103.49,7
17.1,-102.49,7
16.5,-101.48,7
16.03,-100.38,7
15.56,-99.27,7
15.09,-98.17,7
14.62,-97.07,7
14.18,-96.08,7
13.75,-95.09,7
13.32,-94.1,7
12.88,-93.12,7
12.43,-92.09,7
11.98,-91.07,7
11.53,-90.05,7
11.15,-89.2,7
11.06,-89.03,7
10.55,-88.04,7
10.03,-87.05,7
9.51,-86.06,7
9.08,-85.23,7
8.98,-85.08,7
8.38,-84.13,7
7.77,-83.19,7
7.17,-82.25,7
6.9,-81.4,7
6.9,-81.22,7
6.96,-80.14,7
7.73,-79.37,7
8.72,-79.42,7
8.8,-79.47,7
8.62,-79.46,7
7.7,-79.45,7
7.52,-79.49,7
6.45,-79.71,7
5.37,-79.94,7
4.3,-80.16,7
3.4,-80.35,7
3.22,-80.39,7
2.11,-80.62,7
1,-80.85,7
-0.11,-81.08,7
-1.03,-81.27,7
-1.21,-81.29,7
-2.29,-81.4,7
-3.37,-81.51,7
-4.44,-81.62,7
-5.32,-81.42,7
-5.48,-81.39,7
-6.44,-81.2,7
-7.35,-80.82,7
-8.26,-80.45,7
-9.02,-80.13,7
-9.17,-80.07,7
-10.07,-79.7,7
-10.85,-79.12,7
-11.63,-78.54,7
-12.28,-78.05,7
-12.43,-77.96,7
-13.31,-77.4,7
-14.19,-76.84,7
-14.86,-76.07,7
-15.25,-75.38,7
-15.22,-75.33,7
-15,-75.8,7
-14.4,-76.67,7
-14.23,-76.79,7
-13.22,-77.56,7
-12.22,-78.32,7
-11.21,-79.09,7
-10.37,-79.72,7
-10.23,-79.82,7
-10.23,-79.82,7
-10.23,-79.82,7
-10.23,-79.82,7
-9.99,-80.11,7
-9.52,-81.26,7
-9.25,-82.28,7
-9.19,-82.48,7
-8.8,-83.68,7
-8.41,-84.88,7
-8.01,-86.08,7
-7.62,-87.27,7
-7.22,-88.46,7
-6.82,-89.66,7
-6.42,-90.85,7
-6.02,-92.03,7
-5.59,-93.21,7
-5.16,-94.39,7
-4.73,-95.56,7
-4.3,-96.73,7
-3.87,-97.91,7
-3.44,-99.08,7
-3.01,-100.25,7
-2.58,-101.42,7
-2.43,-101.85,7
-2.43,-101.85,7
-2.43,-101.85,7
-2.43,-101.85,7
-2.43,-101.85,7
-2.3,-102.28,7
-1.87,-103.46,7
-1.44,-104.63,7
-1.02,-105.8,7
-0.59,-106.97,7
-0.52,-107.17,7
-0.14,-108.16,7
0.32,-109.36,7
0.77,-110.55,7
1.22,-111.75,7
1.3,-111.95,7
1.71,-112.97,7
2.19,-114.19,7
2.68,-115.41,7
3.17,-116.63,7
3.25,-116.83,7
3.58,-117.83,7
3.98,-119.02,7
4.37,-120.21,3
4.77,-121.4,3
4.9,-121.8,3
5.16,-122.59,3
5.56,-123.78,3
5.96,-124.98,3
6.35,-126.17,3
6.48,-126.57,3
6.75,-127.36,3
7.14,-128.56,3
7.54,-129.75,3
7.93,-130.95,3
8.07,-131.35,3
8.29,-132.04,3
8.63,-133.08,3
8.97,-134.12,3
9.31,-135.16,3
9.48,-135.68,3
9.66,-136.24,3
10.01,-137.36,3
10.36,-138.48,3
10.71,-139.61,3
10.88,-140.17,3
11.04,-140.73,3
11.36,-141.86,3
11.69,-142.99,3
12.01,-144.12,3
