,pickup_cluster,lat,lon
16265,0,13.16,119.92
16266,0,12.78,120.18
16267,0,11.6,120.62
16268,5,10.24,120.41
16269,5,8.86,120.34
16270,5,7.94,120.3
16271,5,7.48,120.19
16272,5,6.11,119.88
16273,5,4.74,119.62
16274,5,3.33,119.56
16275,5,2.39,119.52
16276,5,1.91,119.45
16277,5,0.48,119.25
16278,5,-0.93,118.92
16279,5,-2.34,118.59
16280,5,-3.31,118.5
16281,5,-3.72,118.3
16282,5,-4.84,117.52
16283,5,-6.06,116.98
16284,5,-7.33,116.51
16285,5,-8.07,116.02
16286,5,-8.46,115.86
16287,5,-9.66,115.59
16288,5,-10.88,115.4
16289,5,-12.11,115.21
16290,5,-12.93,115.08
16291,5,-13.31,115.0
16292,5,-14.47,114.77
16293,5,-15.63,114.55
16294,5,-16.78,114.32
16295,5,-17.56,114.16
16296,5,-17.89,114.1
16297,5,-18.89,113.92
16298,5,-19.89,113.73
16299,5,-20.89,113.55
16300,5,-21.56,113.42
16301,5,-21.9,113.36
16302,5,-22.94,113.18
16303,5,-23.97,112.99
16304,5,-25.0,112.8
16305,5,-25.7,112.69
16306,5,-26.02,112.76
16307,5,-26.98,112.96
16308,5,-27.95,113.17
16309,5,-28.91,113.4
16310,5,-29.51,113.68
16311,5,-29.8,113.83
16312,5,-30.66,114.27
16313,5,-31.53,114.71
16314,5,-32.39,115.16
16315,5,-32.97,115.47
16316,5,-33.15,115.55
16317,5,-33.3,115.6
16318,5,-32.52,115.21
16319,5,-31.41,114.66
16320,5,-30.67,114.28
16321,5,-30.31,114.1
16322,5,-29.23,113.56
16323,5,-28.11,113.19
16324,5,-26.95,112.96
16325,5,-26.18,112.81
16326,5,-25.78,112.72
16327,5,-24.57,112.88
16328,5,-23.37,113.11
16329,5,-22.16,113.33
16330,5,-21.36,113.48
16331,5,-20.95,113.56
16332,5,-19.74,113.78
16333,5,-18.52,114.0
16334,5,-17.31,114.22
16335,5,-16.5,114.37
16336,5,-16.1,114.44
16337,5,-14.9,114.65
16338,5,-13.71,114.87
16339,5,-12.51,115.08
16340,5,-11.71,115.22
16341,5,-11.31,115.29
16342,5,-10.08,115.5
16343,5,-8.85,115.71
16344,5,-7.75,116.26
16345,5,-7.08,116.75
16346,5,-6.7,116.86
16347,5,-5.5,117.12
16348,5,-4.46,117.8
16349,5,-3.4,118.45
16350,5,-2.58,118.51
16351,5,-2.17,118.62
16352,5,-0.93,118.92
16353,5,0.31,119.24
